,Date,Station,Gates,Barrier_Hit,HCSS_Error,HCSS_Uncleared,Intrusion,Passage_Cancel,Tailgate
163,2018-10-15,CCK,G07,0,1,0,3,25,7
164,2018-10-15,CCK,G08,0,0,0,7,11,14
165,2018-10-15,CCK,G09,0,0,0,4,37,9
166,2018-10-15,CCK,G10,1,2,0,4,26,1
167,2018-10-15,CCK,G11,0,9,0,11,38,19
168,2018-10-15,CCK,G12,0,1,0,0,34,33
169,2018-10-15,CCK,G13,0,1,1,0,182,0
170,2018-10-15,CCK,G14,0,0,0,10,27,25
171,2018-10-15,CCK,G15,0,0,0,13,15,9
172,2018-10-15,CCK,G16,0,0,0,20,11,17
173,2018-10-15,CCK,G17,0,2,1,8,42,23
174,2018-10-15,CLE,G01,0,1,0,18,12,9
175,2018-10-15,CLE,G02,0,0,0,5,41,21
176,2018-10-15,CLE,G03,0,45,0,12,96,45
177,2018-10-15,CLE,G04,0,1,1,7,42,26
178,2018-10-15,CLE,G05,0,0,0,12,13,46
179,2018-10-15,CLE,G06,0,0,0,0,0,0
180,2018-10-15,CLE,G07,1,44,1,69,43,24
181,2018-10-15,CLE,G08,1,0,0,13,18,65
182,2018-10-15,CLE,G09,0,14,0,9,45,40
183,2018-10-15,CLE,G10,0,0,0,5,31,33
184,2018-10-15,CLE,G11,0,1,0,4,24,13
185,2018-10-15,CLE,G12,0,0,0,3,14,11
186,2018-10-15,CLE,G13,0,5,0,26,4,1
187,2018-10-15,CLE,G14,0,3,0,1,3,2
188,2018-10-15,CLE,G15,0,2,0,2,3,2
189,2018-10-15,CLE,G16,0,0,0,2,4,5
190,2018-10-15,CLE,G17,0,0,0,4,4,6
191,2018-10-15,CLE,G18,0,2,0,3,3,1
192,2018-10-15,CLE,G19,0,3,0,1,3,0
193,2018-10-15,CLE,G20,0,0,0,2,11,4
194,2018-10-15,CLE,G21,0,0,0,5,7,6
195,2018-10-15,CLE,G22,0,0,0,0,5,5
196,2018-10-15,CNG,G01,0,0,0,2,17,7
197,2018-10-15,CNG,G02,0,1,0,1,7,5
198,2018-10-15,CNG,G03,0,2,0,8,16,6
199,2018-10-15,CNG,G04,0,3,0,4,11,1
200,2018-10-15,CNG,G05,0,0,0,0,0,0
201,2018-10-15,CNG,G06,0,2,0,6,16,4
202,2018-10-15,CNG,G07,0,2,0,0,20,6
203,2018-10-15,CNG,G08,0,3,0,4,22,13
204,2018-10-15,COM,G01,0,0,0,2,3,1
205,2018-10-15,COM,G02,0,0,0,3,1,3
206,2018-10-15,COM,G03,0,1,0,5,30,8
207,2018-10-15,COM,G04,0,19,1,4,24,7
208,2018-10-15,COM,G05,0,0,0,0,0,0
209,2018-10-15,COM,G06,0,1,0,2,25,9
210,2018-10-15,COM,G07,0,0,0,7,26,10
211,2018-10-15,COM,G08,0,0,0,17,16,35
212,2018-10-15,COM,G09,0,10,0,0,21,7
213,2018-10-15,COM,G10,0,3,0,5,1,0
214,2018-10-15,COM,G11,0,1,0,3,1,2
215,2018-10-15,COM,G12,0,0,0,0,6,3
216,2018-10-15,COM,G13,0,2,0,1,2,3
217,2018-10-15,COM,G14,0,1,0,1,14,6
218,2018-10-15,COM,G15,0,1,0,1,4,2
219,2018-10-15,CTH,G01,0,1,0,10,11,19
220,2018-10-15,CTH,G02,0,16,0,4,8,15
221,2018-10-15,CTH,G03,0,0,0,4,17,20
222,2018-10-15,CTH,G04,2,0,0,0,11,13
223,2018-10-15,CTH,G05,0,0,0,2,23,9
224,2018-10-15,CTH,G06,0,0,0,4,24,4
225,2018-10-15,CTH,G07,0,2,0,7,5,6
226,2018-10-15,CTH,G08,0,2,0,4,2,3
227,2018-10-15,CTH,G09,0,1,0,7,6,6
228,2018-10-15,CTH,G10,0,4,0,6,12,10
229,2018-10-15,CTH,G11,0,0,0,6,6,17
230,2018-10-15,CTH,G12,0,1,0,4,15,21
231,2018-10-15,CTH,G13,0,0,0,6,3,4
232,2018-10-15,CTH,G14,0,0,0,4,7,12
233,2018-10-15,CTH,G15,0,0,0,9,4,12
234,2018-10-15,CTH,G16,0,0,0,7,10,14
235,2018-10-15,CTH,G17,0,1,1,11,7,13
236,2018-10-15,CTH,G18,0,2,0,15,17,9
237,2018-10-15,CTH,G19,0,0,0,0,0,0
238,2018-10-15,CTH,G20,0,4,0,8,10,15
239,2018-10-15,CTH,G21,0,0,0,2,15,5
240,2018-10-15,CTH,G22,0,0,0,8,23,10
241,2018-10-15,CTH,G23,0,1,1,4,9,19
242,2018-10-15,CTH,G24,0,0,0,3,7,10
243,2018-10-15,CTH,G25,0,2,0,3,7,9
244,2018-10-15,DBG,G01,0,1,0,10,42,22
245,2018-10-15,DBG,G02,0,37,0,13,10,3
246,2018-10-15,DBG,G03,0,3,0,8,7,11
247,2018-10-15,DBG,G04,0,4,0,3,4,5
248,2018-10-15,DBG,G05,0,1,0,1,9,2
249,2018-10-15,DBG,G06,0,5,0,3,1,4
250,2018-10-15,DBG,G07,0,0,0,0,0,0
251,2018-10-15,DBG,G08,0,1,0,2,8,3
252,2018-10-15,DBG,G09,0,2,0,0,6,5
253,2018-10-15,DBG,G10,0,0,0,1,11,6
254,2018-10-15,DBG,G11,0,0,0,4,16,4
255,2018-10-15,DBG,G12,0,0,0,2,13,5
256,2018-10-15,DBG,G13,0,0,0,4,15,2
257,2018-10-15,EUN,G01,0,8,1,6,39,25
258,2018-10-15,EUN,G02,0,1,0,5,8,12
259,2018-10-15,EUN,G03,0,0,0,3,17,7
260,2018-10-15,EUN,G04,0,3,0,1,10,12
261,2018-10-15,EUN,G05,0,86,1,4,22,4
262,2018-10-15,EUN,G06,0,0,0,0,0,0
263,2018-10-15,EUN,G07,0,4,0,5,49,10
264,2018-10-15,EUN,G08,0,0,0,7,15,11
265,2018-10-15,EUN,G09,0,0,0,4,20,9
266,2018-10-15,EUN,G10,1,1,1,2,28,16
267,2018-10-15,JUR,G01,0,1,1,16,28,18
268,2018-10-15,JUR,G02,0,0,0,4,10,15
269,2018-10-15,JUR,G03,0,0,0,4,167,19
270,2018-10-15,JUR,G04,0,0,0,8,57,18
271,2018-10-15,JUR,G05,0,2,0,11,7,8
272,2018-10-15,JUR,G06,0,0,0,0,0,0
273,2018-10-15,JUR,G07,0,9,1,24,54,23
274,2018-10-15,JUR,G08,0,0,0,17,34,46
275,2018-10-15,JUR,G09,1,0,0,13,43,19
276,2018-10-15,JUR,G10,1,2,0,14,68,37
277,2018-10-15,JUR,G11,1,5,0,25,14,44
278,2018-10-15,JUR,G12,0,0,0,12,28,40
279,2018-10-15,JUR,G13,0,58,0,11,39,24
280,2018-10-15,JUR,G14,0,0,0,18,13,67
281,2018-10-15,JUR,G15,0,3,0,0,44,48
282,2018-10-15,JUR,G16,0,35,1,8,29,27
283,2018-10-15,JUR,G17,0,2,0,7,27,17
284,2018-10-15,JUR,G18,0,0,0,0,0,0
285,2018-10-15,JUR,G19,0,0,0,7,18,22
286,2018-10-15,JUR,G20,0,0,0,8,49,16
287,2018-10-15,JUR,G21,0,42,1,8,34,24
