Datetime,Date,Time,Station,Gate
2018-10-15 06:25:43,2018-10-15,06:25:43,RFP,G03
2018-10-15 06:25:56,2018-10-15,06:25:56,RFP,G02
2018-10-15 06:26:04,2018-10-15,06:26:04,WDL,G13
2018-10-15 06:26:15,2018-10-15,06:26:15,NOV,G06
2018-10-15 06:26:20,2018-10-15,06:26:20,TNM,G08
2018-10-15 06:26:55,2018-10-15,06:26:55,BSH,G08
2018-10-15 06:27:05,2018-10-15,06:27:05,TIB,G10
2018-10-15 06:27:54,2018-10-15,06:27:54,KTB,G01
2018-10-15 06:27:58,2018-10-15,06:27:58,ORC,G04
2018-10-15 06:28:19,2018-10-15,06:28:19,ADM,G07
2018-10-15 06:28:23,2018-10-15,06:28:23,BNL,G03
2018-10-15 06:28:31,2018-10-15,06:28:31,TIB,G10
2018-10-15 06:28:51,2018-10-15,06:28:51,BNL,G09
2018-10-15 06:28:56,2018-10-15,06:28:56,TNM,G01
2018-10-15 06:29:12,2018-10-15,06:29:12,MSL,G07
2018-10-15 06:29:32,2018-10-15,06:29:32,LKS,G03
2018-10-15 06:29:35,2018-10-15,06:29:35,ORC,G19
2018-10-15 06:29:40,2018-10-15,06:29:40,JUR,G22
2018-10-15 06:29:48,2018-10-15,06:29:48,CNG,G08
2018-10-15 06:30:24,2018-10-15,06:30:24,CTH,G20
2018-10-15 06:30:26,2018-10-15,06:30:26,CLE,G20
2018-10-15 06:30:31,2018-10-15,06:30:31,YIS,G02
2018-10-15 06:30:32,2018-10-15,06:30:32,YIS,G02
2018-10-15 06:30:34,2018-10-15,06:30:34,CLE,G12
2018-10-15 06:30:47,2018-10-15,06:30:47,WDL,G11
2018-10-15 06:31:01,2018-10-15,06:31:01,ADM,G07
2018-10-15 06:31:08,2018-10-15,06:31:08,PYL,G02
2018-10-15 06:31:11,2018-10-15,06:31:11,WDL,G02
2018-10-15 06:31:19,2018-10-15,06:31:19,YWT,G07
2018-10-15 06:31:23,2018-10-15,06:31:23,WDL,G05
2018-10-15 06:32:15,2018-10-15,06:32:15,RFP,G01
2018-10-15 06:32:35,2018-10-15,06:32:35,BBT,G09
2018-10-15 06:32:48,2018-10-15,06:32:48,TIB,G09
2018-10-15 06:32:51,2018-10-15,06:32:51,KEM,G08
2018-10-15 06:32:56,2018-10-15,06:32:56,CLE,G21
2018-10-15 06:33:02,2018-10-15,06:33:02,TIB,G04
2018-10-15 06:33:03,2018-10-15,06:33:03,AMK,G02
2018-10-15 06:33:41,2018-10-15,06:33:41,LKS,G04
2018-10-15 06:33:42,2018-10-15,06:33:42,WDL,G02
2018-10-15 06:33:45,2018-10-15,06:33:45,LKS,G01
2018-10-15 06:33:53,2018-10-15,06:33:53,BDK,G04
2018-10-15 06:33:56,2018-10-15,06:33:56,LKS,G04
2018-10-15 06:33:58,2018-10-15,06:33:58,KRJ,G09
2018-10-15 06:34:01,2018-10-15,06:34:01,SBW,G03
2018-10-15 06:34:49,2018-10-15,06:34:49,BDK,G04
2018-10-15 06:35:09,2018-10-15,06:35:09,JUR,G12
2018-10-15 06:35:26,2018-10-15,06:35:26,JUR,G24
2018-10-15 06:35:32,2018-10-15,06:35:32,SOM,G02
2018-10-15 06:35:50,2018-10-15,06:35:50,QUE,G06
2018-10-15 06:35:52,2018-10-15,06:35:52,RFP,G01
2018-10-15 06:35:56,2018-10-15,06:35:56,NEW,G01
2018-10-15 06:36:02,2018-10-15,06:36:02,SOM,G10
2018-10-15 06:36:03,2018-10-15,06:36:03,CCK,G17
2018-10-15 06:36:06,2018-10-15,06:36:06,RDH,G06
2018-10-15 06:36:26,2018-10-15,06:36:26,CLE,G05
2018-10-15 06:36:33,2018-10-15,06:36:33,NOV,G09
2018-10-15 06:36:33,2018-10-15,06:36:33,SIM,G03
2018-10-15 06:36:53,2018-10-15,06:36:53,KTB,G09
2018-10-15 06:36:58,2018-10-15,06:36:58,MSL,G06
2018-10-15 06:37:03,2018-10-15,06:37:03,LKS,G03
2018-10-15 06:37:04,2018-10-15,06:37:04,KEM,G05
2018-10-15 06:37:04,2018-10-15,06:37:04,MSL,G06
2018-10-15 06:37:08,2018-10-15,06:37:08,ADM,G06
2018-10-15 06:37:16,2018-10-15,06:37:16,BFT,G08
2018-10-15 06:37:19,2018-10-15,06:37:19,BNL,G14
2018-10-15 06:37:22,2018-10-15,06:37:22,SBW,G08
2018-10-15 06:37:28,2018-10-15,06:37:28,PSR,G04
2018-10-15 06:37:35,2018-10-15,06:37:35,KRJ,G16
2018-10-15 06:37:36,2018-10-15,06:37:36,RDH,G08
2018-10-15 06:37:46,2018-10-15,06:37:46,BNV,G02
2018-10-15 06:38:02,2018-10-15,06:38:02,KTB,G04
2018-10-15 06:38:09,2018-10-15,06:38:09,LVR,G01
2018-10-15 06:38:10,2018-10-15,06:38:10,BBT,G09
2018-10-15 06:38:22,2018-10-15,06:38:22,BGS,G06
2018-10-15 06:38:22,2018-10-15,06:38:22,CCK,G04
2018-10-15 06:38:31,2018-10-15,06:38:31,WDL,G05
2018-10-15 06:38:48,2018-10-15,06:38:48,MSL,G02
2018-10-15 06:38:57,2018-10-15,06:38:57,NEW,G05
2018-10-15 06:39:07,2018-10-15,06:39:07,AMK,G01
2018-10-15 06:39:10,2018-10-15,06:39:10,TIB,G10
2018-10-15 06:39:14,2018-10-15,06:39:14,AMK,G12
2018-10-15 06:39:26,2018-10-15,06:39:26,KTB,G05
2018-10-15 06:39:31,2018-10-15,06:39:31,KRJ,G15
2018-10-15 06:39:35,2018-10-15,06:39:35,AMK,G15
2018-10-15 06:39:45,2018-10-15,06:39:45,NEW,G08
2018-10-15 06:40:04,2018-10-15,06:40:04,LVR,G05
2018-10-15 06:40:14,2018-10-15,06:40:14,TNM,G05
2018-10-15 06:40:15,2018-10-15,06:40:15,LVR,G04
2018-10-15 06:40:17,2018-10-15,06:40:17,BSH,G03
2018-10-15 06:40:36,2018-10-15,06:40:36,KEM,G01
2018-10-15 06:40:39,2018-10-15,06:40:39,PSR,G04
2018-10-15 06:40:48,2018-10-15,06:40:48,NOV,G07
2018-10-15 06:40:49,2018-10-15,06:40:49,CCK,G17
2018-10-15 06:41:04,2018-10-15,06:41:04,AMK,G07
2018-10-15 06:41:33,2018-10-15,06:41:33,KRJ,G15
2018-10-15 06:41:38,2018-10-15,06:41:38,JUR,G14
2018-10-15 06:41:53,2018-10-15,06:41:53,BGB,G07
2018-10-15 06:41:54,2018-10-15,06:41:54,YWT,G05
2018-10-15 06:42:00,2018-10-15,06:42:00,CLE,G12
2018-10-15 06:42:57,2018-10-15,06:42:57,BBT,G09
2018-10-15 06:43:07,2018-10-15,06:43:07,TIB,G03
2018-10-15 06:43:16,2018-10-15,06:43:16,LKS,G08
2018-10-15 06:43:34,2018-10-15,06:43:34,BNL,G10
2018-10-15 06:43:36,2018-10-15,06:43:36,BDL,G01
2018-10-15 06:43:38,2018-10-15,06:43:38,PSR,G03
2018-10-15 06:43:44,2018-10-15,06:43:44,MSL,G08
2018-10-15 06:43:52,2018-10-15,06:43:52,SIM,G07
2018-10-15 06:44:04,2018-10-15,06:44:04,CCK,G07
2018-10-15 06:44:13,2018-10-15,06:44:13,WDL,G09
2018-10-15 06:44:18,2018-10-15,06:44:18,CTH,G12
2018-10-15 06:44:24,2018-10-15,06:44:24,TNM,G07
2018-10-15 06:44:25,2018-10-15,06:44:25,AMK,G07
2018-10-15 06:44:32,2018-10-15,06:44:32,ADM,G06
2018-10-15 06:45:00,2018-10-15,06:45:00,LKS,G03
2018-10-15 06:45:02,2018-10-15,06:45:02,RFP,G31
2018-10-15 06:45:03,2018-10-15,06:45:03,JUR,G24
2018-10-15 06:45:19,2018-10-15,06:45:19,YWT,G01
2018-10-15 06:45:27,2018-10-15,06:45:27,PYL,G04
2018-10-15 06:45:28,2018-10-15,06:45:28,AMK,G12
2018-10-15 06:45:42,2018-10-15,06:45:42,KAL,G07
2018-10-15 06:45:58,2018-10-15,06:45:58,BGS,G01
2018-10-15 06:46:04,2018-10-15,06:46:04,CCK,G15
2018-10-15 06:46:06,2018-10-15,06:46:06,TNM,G03
2018-10-15 06:46:07,2018-10-15,06:46:07,TPG,G15
2018-10-15 06:46:34,2018-10-15,06:46:34,TAM,G03
2018-10-15 06:47:00,2018-10-15,06:47:00,TAM,G03
2018-10-15 06:47:00,2018-10-15,06:47:00,EUN,G09
2018-10-15 06:47:04,2018-10-15,06:47:04,SBW,G06
2018-10-15 06:47:41,2018-10-15,06:47:41,YIS,G04
2018-10-15 06:47:46,2018-10-15,06:47:46,SIM,G02
2018-10-15 06:47:59,2018-10-15,06:47:59,ADM,G09
2018-10-15 06:48:00,2018-10-15,06:48:00,ADM,G09
2018-10-15 06:48:07,2018-10-15,06:48:07,KEM,G03
2018-10-15 06:48:10,2018-10-15,06:48:10,YCK,G02
2018-10-15 06:48:15,2018-10-15,06:48:15,BGS,G02
2018-10-15 06:48:19,2018-10-15,06:48:19,BDK,G03
2018-10-15 06:48:36,2018-10-15,06:48:36,YWT,G01
2018-10-15 06:48:40,2018-10-15,06:48:40,WDL,G13
2018-10-15 06:48:57,2018-10-15,06:48:57,AMK,G03
2018-10-15 06:48:57,2018-10-15,06:48:57,AMK,G07
2018-10-15 06:48:58,2018-10-15,06:48:58,TAM,G13
2018-10-15 06:48:59,2018-10-15,06:48:59,CCK,G08
2018-10-15 06:49:02,2018-10-15,06:49:02,KAL,G09
2018-10-15 06:49:02,2018-10-15,06:49:02,CLE,G08
2018-10-15 06:49:28,2018-10-15,06:49:28,BGB,G08
2018-10-15 06:49:31,2018-10-15,06:49:31,SIM,G05
2018-10-15 06:49:40,2018-10-15,06:49:40,YWT,G01
2018-10-15 06:50:06,2018-10-15,06:50:06,SBW,G03
